key,nl,en,es,zh,status,source,notes
arrival.willSyncWhenOnline,Deze aankomst wordt gesynchroniseerd zodra je online bent,This arrival will sync when online,Esta llegada se sincronizará cuando haya conexión,恢复联网后将同步此次到达,READY_FOR_SHEET,views/bezorger/ViewBezorgerTodayRoute.vue,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
common.emDash,—,—,—,—,READY_FOR_SHEET,composables/courier-analytics-mappers.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Shared empty/unknown numeric placeholder (typography)
deliveryManifest.download,Manifest downloaden,Download manifest,Descargar manifiesto,下载清单,READY_FOR_SHEET,phase29a-keys.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 29A — missing from catalogs
deliveryManifest.downloaded,Manifest gedownload,Manifest downloaded,Manifiesto descargado,清单已下载,READY_FOR_SHEET,composables/useDeliveryManifestDownload.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 29A — used in UI but absent from catalogs
deliveryManifest.downloadRoute,Download routemanifest,Download route manifest,Descargar manifiesto de ruta,下载路线清单,READY_FOR_SHEET,views/bezorger/ViewBezorgerTodayRoute.vue,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 29A — used in UI but absent from catalogs
deliveryManifest.downloadRouteAria,Download bezorgroutemanifest als PDF,Download delivery route manifest as PDF,Descargar manifiesto de ruta de entrega en PDF,下载配送路线清单 PDF,READY_FOR_SHEET,views/bezorger/ViewBezorgerTodayRoute.vue,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 29A — aria; used in UI but absent from catalogs
deliveryManifest.downloadStop,Download stopmanifest,Download stop manifest,Descargar manifiesto de parada,下载站点清单,READY_FOR_SHEET,components/feature/apotheker/FeatureApothekerPlannedDeliveries.vue,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 29A — used in UI but absent from catalogs
deliveryManifest.downloadStopAria,Download bezorgstopmanifest als PDF,Download delivery stop manifest as PDF,Descargar manifiesto de parada de entrega en PDF,下载配送站点清单 PDF,READY_FOR_SHEET,components/feature/apotheker/FeatureApothekerPlannedDeliveries.vue,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 29A — aria; used in UI but absent from catalogs
deliveryManifest.error.forbidden,Je hebt geen toegang tot dit manifest,You do not have access to this manifest,No tienes acceso a este manifiesto,你无权访问此清单,READY_FOR_SHEET,composables/useDeliveryManifestDownload.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 29A — used in UI but absent from catalogs
deliveryManifest.error.unable,Manifest kon niet worden gegenereerd,Unable to generate manifest,No se pudo generar el manifiesto,无法生成清单,READY_FOR_SHEET,composables/useDeliveryManifestDownload.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 29A — used in UI but absent from catalogs
deliveryManifest.error.unavailable,Manifest niet beschikbaar,Manifest unavailable,Manifiesto no disponible,清单不可用,READY_FOR_SHEET,composables/useDeliveryManifestDownload.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 29A — used in UI but absent from catalogs
deliveryManifest.generating,Manifest wordt gegenereerd,Generating manifest,Generando manifiesto,正在生成清单,READY_FOR_SHEET,views/bezorger/ViewBezorgerTodayRoute.vue,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 29A — used in UI but absent from catalogs
deliveryManifest.routeTitle,Routemanifest,Route manifest,Manifiesto de ruta,路线清单,READY_FOR_SHEET,phase29a-keys.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 29A — missing from catalogs
deliveryManifest.stopTitle,Stopmanifest,Stop manifest,Manifiesto de parada,站点清单,READY_FOR_SHEET,phase29a-keys.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 29A — missing from catalogs
errors.deliveryArrival.alreadyRecorded,Aankomst is al geregistreerd voor deze stop.,Arrival was already recorded for this stop.,La llegada ya se registró para esta parada.,该站点已记录到达。,READY_FOR_SHEET,api/delivery-arrival-errors.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
errors.deliveryArrival.conflict,Aankomst conflicteert met een recentere routewijziging.,Arrival conflicts with a newer route change.,La llegada entra en conflicto con un cambio de ruta más reciente.,到达与较新的路线变更冲突。,READY_FOR_SHEET,api/delivery-arrival-errors.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
errors.deliveryArrival.failed,Aankomst registreren is mislukt. Probeer opnieuw.,Recording arrival failed. Try again.,No se pudo registrar la llegada. Inténtalo de nuevo.,记录到达失败，请重试。,READY_FOR_SHEET,api/delivery-arrival-errors.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
errors.deliveryArrival.forbidden,Je mag aankomst voor deze route niet registreren.,You cannot record arrival for this route.,No puedes registrar la llegada de esta ruta.,你无权记录此路线的到达。,READY_FOR_SHEET,api/delivery-arrival-errors.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
errors.deliveryArrival.generic,Aankomst kon niet worden geregistreerd.,Unable to record arrival.,No se pudo registrar la llegada.,无法记录到达。,READY_FOR_SHEET,api/delivery-arrival-errors.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — used in UI but absent from catalogs
errors.deliveryArrival.network,Server niet bereikbaar om aankomst te registreren.,Could not reach the server to record arrival.,No se pudo contactar al servidor para registrar la llegada.,无法连接服务器以记录到达。,READY_FOR_SHEET,api/delivery-arrival-errors.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — used in UI but absent from catalogs
errors.deliveryArrival.rateLimited,Te veel aankomstpogingen. Probeer later opnieuw.,Too many arrival attempts. Try again later.,Demasiados intentos de llegada. Inténtalo más tarde.,到达尝试次数过多，请稍后再试。,READY_FOR_SHEET,api/delivery-arrival-errors.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
errors.deliveryArrival.routeInactive,Aankomst kan niet worden geregistreerd voor een inactieve route.,Arrival cannot be recorded for an inactive route.,No se puede registrar la llegada de una ruta inactiva.,无法为未激活路线记录到达。,READY_FOR_SHEET,api/delivery-arrival-errors.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
errors.deliveryArrival.routeNotFound,Bezorgroute niet gevonden.,Delivery route not found.,Ruta de entrega no encontrada.,未找到配送路线。,READY_FOR_SHEET,api/delivery-arrival-errors.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
errors.deliveryArrival.routeNotStarted,Start de route voordat je aankomst registreert.,Start the route before recording arrival.,Inicia la ruta antes de registrar la llegada.,请先开始路线再记录到达。,READY_FOR_SHEET,api/delivery-arrival-errors.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
errors.deliveryArrival.stopAlreadyDelivered,Deze stop is al afgeleverd.,This stop is already delivered.,Esta parada ya fue entregada.,该站点已送达。,READY_FOR_SHEET,api/delivery-arrival-errors.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
errors.deliveryArrival.stopNotFound,Bezorgstop niet gevonden.,Delivery stop not found.,Parada de entrega no encontrada.,未找到配送站点。,READY_FOR_SHEET,api/delivery-arrival-errors.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
errors.deliveryArrival.timestampInvalid,De tijd op je apparaat lijkt onjuist. Controleer de klok en probeer opnieuw.,Your device time looks incorrect. Check the clock and try again.,La hora del dispositivo parece incorrecta. Revisa el reloj e inténtalo de nuevo.,设备时间似乎不正确。请检查时钟后重试。,READY_FOR_SHEET,api/delivery-arrival-errors.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
errors.deliveryArrival.unauthorized,Meld je opnieuw aan om aankomst te registreren.,Sign in again to record arrival.,Vuelve a iniciar sesión para registrar la llegada.,请重新登录以记录到达。,READY_FOR_SHEET,api/delivery-arrival-errors.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
notifications.fallback.body,Melding,Notification,Notificación,通知,READY_FOR_SHEET,utils/notification-display.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Same fallback used for unresolved body text
notifications.fallback.title,Melding,Notification,Notificación,通知,READY_FOR_SHEET,utils/notification-display.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Replace hard-coded English fallback when title/body resolution fails
routeVoiceReports.preview.fileSizeValue,{size} {unit},{size} {unit},{size} {unit},{size} {unit},READY_FOR_SHEET,composables/voice-report/voice-recorder-types.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Compose localised file size with unit key
routeVoiceReports.preview.unit.bytes,B,B,B,B,READY_FOR_SHEET,composables/voice-report/voice-recorder-types.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Byte unit label (keep symbol)
routeVoiceReports.preview.unit.kib,KiB,KiB,KiB,KiB,READY_FOR_SHEET,composables/voice-report/voice-recorder-types.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Binary kibibyte unit (IEC symbol)
routeVoiceReports.preview.unit.mib,MiB,MiB,MiB,MiB,READY_FOR_SHEET,composables/voice-report/voice-recorder-types.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Binary mebibyte unit (IEC symbol)
accessibility.notifications,Meldingen,Notifications,Notifications,Notifications,REVIEW,accessibility,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.activate,Activeren,Activate,Activate,Activate,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.averageHandlingDuration,Gemiddelde afhandeltijd,Average handling duration,Average handling duration,Average handling duration,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.calculated,Berekend,Calculated,Calculated,Calculated,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.components.caption,Elke balk is een componentscore van 0–100. Tooltips tonen gewogen bijdragen.,Each bar is a 0–100 component score. Tooltips show weighted contributions.,Each bar is a 0–100 component score. Tooltips show weighted contributions.,Each bar is a 0–100 component score. Tooltips show weighted contributions.,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.components.subtitle,Welke scorecomponenten veroorzaken de rangverschillen?,Which score components cause the ranking differences?,Which score components cause the ranking differences?,Which score components cause the ranking differences?,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.components.title,Vergelijking betrouwbaarheidscomponenten,Reliability component comparison,Reliability component comparison,Reliability component comparison,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.empty.description,Er is onvoldoende historische activiteit om deze grafiek te tekenen.,There is not enough historical activity to draw this chart.,There is not enough historical activity to draw this chart.,There is not enough historical activity to draw this chart.,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.empty.title,Geen grafiekgegevens,No chart data,No chart data,No chart data,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.handling.emptyDescription,Bezorgers hebben geregistreerde aankomst- en leveringstijdstempels nodig voor deze grafiek.,Couriers need recorded arrival and delivery timestamps for this chart.,Couriers need recorded arrival and delivery timestamps for this chart.,Couriers need recorded arrival and delivery timestamps for this chart.,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.handling.emptyTitle,Geen afhandeltijdsteekproeven,No handling duration samples,No handling duration samples,No handling duration samples,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.handling.subtitle,Welke bezorgers besteden de minste of meeste tijd tussen geregistreerde aankomst en bevestigde levering?,Which couriers spend the least or most time between recorded arrival and confirmed delivery?,Which couriers spend the least or most time between recorded arrival and confirmed delivery?,Which couriers spend the least or most time between recorded arrival and confirmed delivery?,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.handling.title,Afhandeltijd per stop,Stop handling time,Stop handling time,Stop handling time,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.monthlyActivity.caption,Vaccinhoeveelheid is weggelaten om de activiteitsschaal niet te verstoren.,Vaccine quantity is omitted from the chart to avoid distorting the activity scale.,Vaccine quantity is omitted from the chart to avoid distorting the activity scale.,Vaccine quantity is omitted from the chart to avoid distorting the activity scale.,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.monthlyActivity.subtitle,Hoe is de bezorgactiviteit veranderd over de levensduur van het systeem?,How has delivery activity changed over the lifetime of the system?,How has delivery activity changed over the lifetime of the system?,How has delivery activity changed over the lifetime of the system?,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.monthlyActivity.title,Maandelijkse bezorgactiviteit,Monthly delivery activity,Monthly delivery activity,Monthly delivery activity,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.proof.subtitle,Hoe leveringen zijn bevestigd.,How deliveries were confirmed.,How deliveries were confirmed.,How deliveries were confirmed.,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.proof.title,Bewijsmethode,Proof method,Proof method,Proof method,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.routeStatus.subtitle,Hoe verdelen routes zich over de operationele statussen?,Where do routes land in the operational status mix?,Where do routes land in the operational status mix?,Where do routes land in the operational status mix?,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.routeStatus.title,Routestatus,Route status,Route status,Route status,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.scoreComparison.caption,Scores zijn 0–100. Volgorde volgt de officiële rangschikking.,Scores are 0–100. Order matches the official ranking.,Scores are 0–100. Order matches the official ranking.,Scores are 0–100. Order matches the official ranking.,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.scoreComparison.excludedNote,{count} bezorger(s) met onvoldoende gegevens zijn uitgesloten van deze grafiek.,{count} courier(s) with insufficient data are excluded from this chart.,{count} courier(s) with insufficient data are excluded from this chart.,{count} courier(s) with insufficient data are excluded from this chart.,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.scoreComparison.subtitle,Welke bezorgers hebben de hoogste betrouwbaarheidsscore?,Which couriers have the highest overall reliability score?,Which couriers have the highest overall reliability score?,Which couriers have the highest overall reliability score?,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.scoreComparison.title,Scorevergelijking bezorgers,Courier score comparison,Courier score comparison,Courier score comparison,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.timeliness.subtitle,Op tijd versus te laat versus onbekende leveringsdata.,On-time vs late vs unknown delivery dates.,On-time vs late vs unknown delivery dates.,On-time vs late vs unknown delivery dates.,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.charts.timeliness.title,Tijdigheid van levering,Delivery timeliness,Delivery timeliness,Delivery timeliness,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.column.assignedRoutes,Toegewezen routes,Assigned routes,Assigned routes,Assigned routes,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.column.completedRoutes,Afgeronde routes,Completed routes,Completed routes,Completed routes,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.column.courier,Bezorger,Courier,Courier,Courier,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.column.dataCompleteness,Volledigheid gegevens,Data completeness,Data completeness,Data completeness,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.column.deliveredStops,Bezorgde stops,Delivered stops,Delivered stops,Delivered stops,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.column.onTimeRate,Op-tijd-percentage,On-time rate,On-time rate,On-time rate,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.column.overdueRoutes,Achterstallige routes,Overdue routes,Overdue routes,Overdue routes,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.column.qrProofRate,QR-bewijspercentage,QR proof rate,QR proof rate,QR proof rate,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.component.consistency,Operationele consistentie,Operational consistency,Operational consistency,Operational consistency,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.component.deliveryCompletion,Leveringsvoltooiing,Delivery completion,Delivery completion,Delivery completion,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.component.onTime,Levering op tijd,On-time delivery,On-time delivery,On-time delivery,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.component.qrConfirmation,QR-bevestiging,QR confirmation,QR confirmation,QR confirmation,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.component.routeCompletion,Routevoltooiing,Route completion,Route completion,Route completion,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.componentBreakdown,Componentuitsplitsing,Component breakdown,Component breakdown,Component breakdown,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.consistency.abandonedProcessing,Afgebroken verwerkingsbevestigingen,Abandoned processing confirmations,Abandoned processing confirmations,Abandoned processing confirmations,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.consistency.explanation,Consistentieproblemen verlagen de component operationele consistentie. Geannuleerde routes en niet-gerelateerde systeemfouten tellen niet mee.,Consistency issues reduce the operational consistency component. Cancelled routes and unrelated system failures are not counted.,Consistency issues reduce the operational consistency component. Cancelled routes and unrelated system failures are not counted.,Consistency issues reduce the operational consistency component. Cancelled routes and unrelated system failures are not counted.,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.consistency.invalidProofs,Ongeldige of onvolledige bewijzen,Invalid or incomplete proofs,Invalid or incomplete proofs,Invalid or incomplete proofs,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.consistency.overdueIncomplete,Achterstallige onvoltooide routes,Overdue incomplete routes,Overdue incomplete routes,Overdue incomplete routes,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.dataQuality.exclusionNote,Getroffen records kunnen uit specifieke berekeningen worden uitgesloten. Ruwe record-ID’s worden niet getoond.,Affected records may be excluded from specific calculations. Raw record IDs are not shown.,Affected records may be excluded from specific calculations. Raw record IDs are not shown.,Affected records may be excluded from specific calculations. Raw record IDs are not shown.,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.dataQuality.invalidHandling,Ongeldige afhandeltijden,Invalid handling durations,Invalid handling durations,Invalid handling durations,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.dataQuality.invalidSequences,Ongeldige stopvolgordes,Invalid stop sequences,Invalid stop sequences,Invalid stop sequences,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.dataQuality.legacyRoutes,Legacy-routes met ontbrekende velden,Legacy routes missing fields,Legacy routes missing fields,Legacy routes missing fields,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.courierAnalytics.dataQuality.malformedProofs,Misvormde bewijzen,Malformed proofs,Malformed proofs,Malformed proofs,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
